Time (hrs),WT (rep 1),AE (rep 1),EA (rep 1),WT (rep 2),AE (rep 2),EA (rep 2),WT + KaiA (rep 1),WT + KaiA (rep 2)
FP,FP,FP,FP,FP,FP,FP,FP,FP
0,220,230,228,217,227,231,209,212
0.25006,2.10E+02,220,219,207,218,2.22E+02,202,202
0.50006,208,218,217,206,214,217,200,201
0.75006,207,217,218,206,214,218,203,202
1.00E+00,208,216,218,207,213,220,201,202
1.25006,2.11E+02,218,219,208,214,223,203,203
1.50006,210,218,222,210,214,223,204,203
1.75008,211,216,224,212,214,224,203,203
2.00008,2.13E+02,218,223,213,214,224,204,204
2.25008,214,217,225,215,214,227,205,205
2.50008,216,218,226,216,214,227,204,206
2.75008,217,217,227,221,2.14E+02,228,207,205
3.00008,219,218,228,223,214,228,207,207
3.25011,221,219,229,224,215,229,209,208
3.50011,222,218,230,227,214,230,209,209
3.75E+00,224,219,231,231,214,230,210,209
4.00011,226,218,232,232,215,233,211,211
4.25011,227,218,232,236,214,234,212,212
4.50011,229,218,235,238,214,235,212,212
4.75011,229,220,235,240,214,237,214,215
5.00014,231,219,238,242,213,238,214,215
5.25014,232,220,237,244,215,239,215,215
5.50014,233,219,238,245,214,238,218,218
5.75014,235,218,240,248,214,240,219,219
6.00014,234,219,241,249,214,241,222,219
6.25014,236,219,241,250,213,242,222,223
6.50017,237,218,244,251,214,243,224,224
6.75017,239,220,244,253,213,243,226,227
7.00017,238,219,245,253,214,246,227,229
7.25017,237,220,245,255,215,247,230,231
7.50017,239,219,249,257,215,248,232,233
7.75017,238,219,248,257,215,248,235,235
8.00019,239,220,251,258,215,251,238,238
8.25019,238,221,252,258,215,253,239,240
8.50019,239,221,255,261,215,254,241,241
8.75019,241,221,256,260,217,255,243,243
9.00019,239,221,258,260,216,257,245,246
9.25019,238,220,259,259,217,259,248,249
9.50022,239,223,260,260,218,259,250,250
9.75022,239,222,262,259,217,261,251,251
10.00022,237,222,263,259,217,262,254,252
10.25022,237,221,266,258,217,264,253,253
10.50022,236,222,266,258,217,265,255,255
10.75022,235,222,268,256,217,266,256,256
11.00025,234,221,268,256,217,267,256,257
11.25025,234,221,271,256,218,268,256,257
11.50025,234,223,273,256,218,270,257,258
11.75025,233,222,274,254,218,271,258,258
12.00025,232,222,276,254,218,274,258,259
12.25025,231,222,277,252,217,274,258,260
12.50028,230,223,278,250,217,276,258,258
12.75028,228,222,280,249,218,277,258,259
13.00028,227,223,281,249,218,278,258,259
13.25028,228,223,282,248,219,280,259,259
13.50028,226,223,283,246,218,281,258,259
13.75028,225,222,285,246,218,282,257,259
14.00028,225,222,287,244,217,285,257,257
14.25031,224,222,287,243,217,284,257,258
14.50031,224,223,288,242,217,286,256,256
14.75031,223,223,289,241,218,288,255,255
15.00031,221,223,292,240,218,289,254,255
15.25031,220,222,292,238,218,288,254,253
15.50031,220,223,294,239,218,291,252,252
15.75033,220,224,294,237,216,290,250,251
16.00033,220,223,294,237,218,290,249,250
16.25033,218,222,294,235,217,292,247,249
16.50033,218,223,296,234,216,292,246,248
16.75033,219,223,295,233,217,294,245,245
17.00033,217,223,296,234,218,295,243,243
17.25033,219,222,296,234,218,293,239,241
17.50036,217,222,297,232,217,294,239,239
17.75036,217,222,298,231,216,296,238,238
18.00036,217,221,299,230,219,296,235,236
18.25036,217,222,300,229,217,297,234,234
18.50036,217,222,299,229,216,297,232,232
18.75036,216,220,298,229,216,295,230,231
19.00039,216,222,298,227,215,297,228,229
19.25039,215,221,298,228,215,297,226,229
19.50039,216,220,299,227,216,296,225,226
19.75039,214,221,298,227,215,298,223,225
20.00039,214,221,298,225,216,296,223,222
20.25042,215,221,299,225,216,297,220,222
20.50042,214,220,298,224,215,297,221,222
20.75042,214,221,298,225,215,298,220,221
21.00042,213,220,299,224,216,297,219,220
21.25042,213,220,299,223,214,298,217,219
21.50042,213,219,299,223,214,298,217,218
21.75042,213,220,299,224,215,298,215,217
22.00044,214,220,298,224,215,299,216,216
22.25044,214,220,298,222,214,298,215,217
22.50044,213,221,298,222,215,298,214,217
22.75044,214,219,299,223,215,297,214,216
23.00044,213,221,300,221,214,298,213,214
23.25044,213,219,299,222,215,297,214,215
23.50047,213,219,300,220,214,298,213,213
23.75047,213,220,300,222,215,299,213,214
24.00047,214,220,300,223,215,298,213,215
24.25047,213,220,300,223,213,298,212,213
24.50047,214,219,300,222,214,299,212,212
